protein,PAM50 mRNA
NP_001323,0.26242966922833416
NP_001131024,0.4785054665355823
NP_001131025,0.49188816268905655
NP_001131022,0.3448524140264981
NP_001229489,0.37755697123489307
NP_001229488,0.3944184542068677
NP_663719,0.40104710343866606
NP_722549,0.24291925624602193
NP_733763,0.23262720816755753
NP_001248755,0.37341781372418553
NP_112533,0.30096694864301776
NP_065996,0.24328587517889486
NP_001020262,0.32527972849257
NP_001081,0.3493645192404024
NP_005906,0.20731848212254242
NP_055484,0.2343389779883968
NP_061918,0.229592217299058
NP_004334,0.4401495378658278
NP_001231639,0.21867341965205161
NP_005101,0.3402885140903535
NP_055045,0.3123443726176816
NP_004517,0.21648116996079025
NP_055578,0.2614256903466735
XP_003960289,0.23283384871274304
XP_003960292,0.22426818639289728
XP_003846537,0.22776557439408426
NP_005522,0.33349965217806904
NP_001193496,0.33951885480489774
NP_689714,0.29376576597063275
NP_056056,0.3116431488723764
NP_001129476,0.36559470927343196
NP_061936,0.41131009040749233
NP_005086,0.2017431652899226
NP_002547,0.2144916154436916
NP_006358,0.29105967635899826
NP_001002814,0.21576194468570123
NP_945353,0.4535785700054121
NP_000242,0.2640212654994326
NP_006381,0.25264026223360037
NP_065069,0.31832410370138003
NP_003581,0.2040956829256571
XP_001713902,0.2910967325765466
NP_001129126,0.22877343469488975
NP_003810,0.2268456543641364
NP_001118228,0.26141402804412106
NP_001012995,0.25123221701032905
NP_001017995,0.30891096650941424
NP_055446,0.22403513523410065
NP_003925,0.3940656097432446
NP_055429,0.3732538578825684
NP_005236,0.3809166511641045
NP_004765,0.24810308065190434
NP_858058,0.21126462648985536
NP_858059,0.22666872684175587
NP_002617,0.25875390428511874
NP_002618,0.2986862227654337
NP_056380,0.2648624065130785
NP_004809,0.2776885026131122
NP_005434,0.3317508942143612
NP_004661,0.3043715507460163
NP_002829,0.23755859335523363
NP_000056,0.3206953267741331
NP_001243806,0.4777043882576234
NP_660208,0.3039654571974001
NP_001393,0.24645862471328828
NP_005132,0.3247122206151808
NP_055518,0.2251059241573608
NP_000497,0.31086869727293165
NP_006816,0.2351462254075547
NP_005907,0.23319824486367735
NP_009121,0.27459579126832606
NP_005691,0.2181057448669775
NP_006730,0.24500467506658258
NP_002201,0.2493926143559085
NP_003079,0.5093279565648567
NP_004730,0.2490180711150121
NP_065795,0.22409386180514496
NP_004554,0.3062105359362998
NP_002582,0.23859943690977087
NP_001184222,0.30333089427673077
NP_009176,0.2054251930597905
NP_060136,0.3070604620886109
NP_005991,0.22784071685574314
NP_061816,0.26028838438693797
XP_003846706,0.2348872486849152
NP_002068,0.3249630173901694
NP_001263206,0.2879648123536552
NP_001124330,0.33147698119482677
NP_003583,0.33292946071111806
NP_004604,0.24202309763467958
NP_689969,0.21368086590341173
NP_000539,0.3024231432863856
NP_000201,0.5361257121795183
NP_064716,0.2519929088643751
NP_002476,0.291655061439607
NP_001073898,0.28833857064913093
NP_065953,0.2838953254618622
NP_942568,0.4965345489394694
NP_055945,0.7349789409720259
NP_055548,0.27342354818135495
NP_055805,0.3870255371513115
NP_919277,0.3865221345337287
NP_060773,0.2029997009458796
NP_000286,0.2108911195614875
NP_115786,0.42368690658999286
NP_056972,0.3276453806904459
NP_005219,0.5657458519582069
NP_055048,0.22183771479565453
NP_055637,0.2257176157298241
NP_001116105,0.2190301895975057
NP_056060,0.36747154812062727
NP_002207,0.3633532935526834
NP_004035,0.23257772994089537
NP_005582,0.21752822699609237
NP_001743,0.2407069858268932
NP_006363,0.27444664468808566
NP_001153149,0.2874303222328336
NP_006786,0.48641480626599515
NP_055415,0.40225537777949466
NP_005768,0.21184261729687268
NP_803136,0.20956398416403849
NP_001888,0.43971016537240626
NP_008878,0.2876457187481125
NP_005142,0.20770049842734994
NP_113619,0.22621225465495326
NP_061120,0.3368789967493241
NP_945314,0.28013300922931705
NP_055105,0.24225515566789096
NP_116178,0.278273125846255
NP_009293,0.3709727674204012
NP_036286,0.2589391908396059
NP_005883,0.21854621075004377
NP_443137,0.45211534742839754
NP_783863,0.3162230757393984
NP_065842,0.2329986966965622
NP_694856,0.4675724855597
NP_775866,0.2597110790983249
NP_001153705,0.34124351406423675
NP_000693,0.35765268305246994
NP_001243142,0.383230216383404
NP_653300,0.3584198676154418
NP_000695,0.27906496591013086
NP_001172014,0.357006879998592
NP_996826,0.3083045080227084
NP_061184,0.33806468961810976
NP_542166,0.2982667608245825
NP_060506,0.29014309266898264
NP_079524,0.24050847836228484
NP_059830,0.24665919835496275
NP_112553,0.32902437513819327
NP_149107,0.309659127644475
NP_001166216,0.3090852927098524
NP_009178,0.4786282236666772
NP_942583,0.47422803111227146
NP_001004019,0.23742663022975422
NP_001989,0.23835714396101948
NP_001138439,0.3951540454107952
NP_006145,0.24165656673479882
NP_940682,0.211022999099748
NP_001145,0.21715412735409312
NP_065875,0.3527962354540567
NP_002430,0.32856598944179216
NP_000030,0.22253271924582296
NP_001121113,0.32925990222048107
NP_031383,0.2859471910775909
NP_079434,0.2723897854250401
NP_002085,0.23785166507795202
NP_001003800,0.2821595716201639
NP_001124,0.2160881110022267
NP_005553,0.38809704878195167
NP_061486,0.38944097398699185
NP_001230106,0.21003454562090518
NP_001026973,0.418103937476142
NP_001140177,0.22976341305989517
NP_689854,0.36599923838443715
NP_005262,0.26637568229769076
NP_036216,0.21700280841727973
NP_055692,0.2519049886308622
NP_055680,0.2338064872461243
NP_078799,0.26125132715393473
NP_001257327,0.38097816432173837
NP_001895,0.26273301109079034
NP_036419,0.26329069254323695
NP_002624,0.3234053549893121
NP_570854,0.2596035239251237
NP_060252,0.23744840934785624
NP_003908,0.34673326749268013
NP_542164,0.21851683527104315
NP_659412,0.3711329728918679
NP_001098057,0.32293337703784697
NP_002261,0.23756993564639065
NP_005539,0.2878877803286073
NP_009043,0.3191761880007651
NP_057508,0.20584975367802055
NP_061915,0.3001387362182236
NP_057424,0.33867513997290805
NP_002941,0.22454551520974686
NP_055756,0.32195780060900064
NP_000089,0.26964188453999777
NP_001005373,0.40861880623607477
NP_000866,0.2758427938694956
NP_036424,0.20635806969778286
NP_001245257,0.20885529606823144
NP_036440,0.2074991315422562
NP_002206,0.22215169643960794
NP_001159907,0.2223397853220496
NP_056141,0.20601731161117492
NP_001258816,0.26831023215114325
XP_003960178,0.2762906784454041
NP_006132,0.29353972384215554
NP_055040,0.20295953824930302
NP_054908,0.2412385098835676
NP_789771,0.24255566780173693
NP_057190,0.31294079525497565
NP_000875,0.35119848605564224
NP_001073312,0.49067293631987535
NP_002044,0.21802067490822583
NP_000578,0.27938669488948886
NP_005018,0.21146034752298917
NP_694985,0.258964762237171
NP_001191236,0.2261781463777318
NP_203744,0.46276112789982704
NP_000519,0.3493924798684776
NP_005078,0.21426875944360207
NP_001013456,0.2231514114595726
NP_000166,0.22417377908046626
NP_064601,0.4223670526521201
NP_008880,0.35832047808764644
NP_001139280,0.3203791009556435
NP_003143,0.23238452609809937
NP_002100,0.4522678369930073
NP_036340,0.3517512611265013
NP_006653,0.2599941421540653
NP_001986,0.2600370165038145
NP_057318,0.32964126485344
NP_001009185,0.2663444892819093
NP_054749,0.20464585775752273
NP_001395,0.32081791524692543
NP_821133,0.2410068341674425
NP_821080,0.204828441725361
NP_115914,0.24259101546717554
NP_065812,0.23965329390853657
NP_002825,0.23261669624129103
NP_001631,0.23702874786606207
NP_001001521,0.5770733263845457
NP_006750,0.5789691220427227
NP_060731,0.2175801562058969
NP_839955,0.2118045195586814
NP_079100,0.2518853526788413
NP_001153576,0.2346230644874155
NP_997543,0.23117849773402038
NP_065781,0.40360450124656694
NP_066943,0.4033499720594453
NP_001159750,0.40375035380098545
NP_001356,0.22314848989614036
NP_060552,0.27333489034577985
NP_003240,0.25784462003808917
NP_068781,0.24151030749490224
NP_001083,0.24699334081903274
NP_001243776,0.22731119853736362
NP_001254703,0.29957352503037926
NP_777547,0.30752599421737936
NP_055925,0.20889724470766682
NP_055642,0.23113527048533186
NP_005004,0.350504266904827
NP_001191397,0.2040835957811157
NP_009005,0.2024029904989696
NP_065857,0.21708825382409547
NP_001724,0.24481293329817644
NP_057630,0.24015278643678936
NP_001252,0.2900734353537155
NP_065116,0.45475142142190533
NP_001161076,0.4562012027102952
NP_006657,0.3076667490391592
NP_631898,0.313480253508553
NP_932064,0.3186289893906984
NP_068656,0.31837512575469096
NP_001112,0.2557655440606246
NP_058432,0.2550430174127082
NP_005751,0.3503807659177744
NP_060141,0.2915273739977253
NP_060952,0.28791236216522725
NP_004175,0.2328039957012756
NP_002944,0.32277666061595595
NP_004577,0.3920920165262961
NP_001006933,0.3270298101873217
NP_055311,0.366661722111547
NP_031391,0.5844500305850845
NP_061862,0.4547565513212735
NP_000293,0.47603477797236715
NP_056016,0.21397496074218406
NP_001006635,0.3460937802448312
NP_004388,0.2782621497077535
NP_001075,0.4132536877583619
NP_001226,0.32371830282817043
NP_008977,0.20274297045356163
NP_055111,0.20745958047223956
NP_054872,0.21737657386869075
NP_058519,0.4460799873001525
NP_058518,0.4498386976047523
NP_001116539,0.4476862961199613
NP_001190181,0.4662544113260247
NP_001157852,0.2561447672957662
NP_001157854,0.2527503420622887
NP_006775,0.28813130613403815
NP_079408,0.48214919157249214
NP_001001924,0.24608385912174643
NP_001001925,0.24242519412596897
NP_065800,0.21004136038873963
NP_001001931,0.21723306429780576
NP_002874,0.22289494513735916
NP_004448,0.25475560336544534
NP_075266,0.5213133266245455
NP_078880,0.28584179770969403
NP_000684,0.49397185082037615
NP_001610,0.21132983977643
NP_056477,0.29862626911805706
NP_006535,0.2631053164358974
NP_061155,0.2749685974255475
NP_002291,0.6179597460824235
NP_071415,0.3971387304172277
NP_056456,0.5106873131910505
NP_055529,0.47274308707172763
NP_065939,0.3039809850145776
NP_001009571,0.2550038146054437
NP_064590,0.33215927738503087
NP_982261,0.306399031926675
NP_115984,0.32309976542861346
NP_056201,0.26984679712241066
NP_001098707,0.3022956318449389
NP_001005337,0.4576745655176493
NP_000290,0.4568153519903516
NP_006104,0.43357362052428655
NP_115679,0.35536876819360735
NP_004235,0.2542959569719186
NP_981961,0.2555426802080245
NP_115754,0.31893754612112946
NP_001123528,0.30810884029163915
NP_001182132,0.2969445396768243
NP_001950,0.3581367824203263
NP_009017,0.2158188255172775
NP_065737,0.4552231476681616
NP_783328,0.292454418593293
NP_060641,0.3026615046476807
NP_114098,0.2115060679963278
NP_001019837,0.2130681305235436
NP_004028,0.34763775819812753
NP_115941,0.3961830267345239
NP_006282,0.22615509229267572
NP_001123577,0.32087774805248853
NP_112729,0.32564437575402605
NP_057308,0.22450034277360387
NP_065070,0.25245328446696486
NP_004491,0.21012840449925713
NP_002622,0.33484129125521483
NP_078932,0.4537745668957298
NP_061185,0.23966170729931763
NP_001407,0.21142468784745222
NP_000550,0.22041358983469345
NP_000175,0.21235137483286315
NP_057280,0.28468326610845845
NP_057216,0.42803731854590765
NP_002705,0.2664835187003131
NP_001001520,0.27421239686609866
NP_116020,0.2693981720504013
NP_057157,0.2773757378527132
NP_000932,0.2915404072284491
NP_065779,0.23915987993308296
NP_075447,0.23835618565603703
NP_060248,0.24857660006904636
NP_000359,0.27926435091735097
NP_006801,0.29801598379733724
NP_060365,0.22000997863536487
NP_000057,0.2069008733391115
NP_061161,0.5123482366666271
NP_647537,0.21645137572794643
NP_067013,0.33389314299639394
NP_060460,0.363974451607629
NP_036473,0.232037304491853
NP_001001329,0.2829895368758147
NP_079093,0.4812723936909602
NP_062826,0.3320541803926745
NP_078772,0.20611455776792198
NP_001107604,0.26920623248266035
NP_006444,0.2520206042550119
NP_001166958,0.21723886903354056
NP_000908,0.2217551327996362
NP_001017962,0.22693496382575606
NP_490597,0.27865088675601696
NP_957516,0.5039677837859823
NP_001034794,0.45575997995498485
NP_001003408,0.3952786379942272
NP_006711,0.35597008080979226
NP_006449,0.37930181426636145
NP_001123539,0.4715297582286739
NP_004746,0.2357653230912265
NP_003933,0.20647444218011582
NP_002605,0.3193678141737579
NP_056990,0.22295806052634484
NP_148980,0.223086401677694
NP_958850,0.22850212406046364
NP_599031,0.29663922019337263
NP_599032,0.2982154955087735
NP_001193946,0.27975625697093703
NP_065825,0.3718205961942722
NP_596867,0.3859280406175389
NP_391988,0.38703027687651415
NP_000879,0.3501436347883014
NP_003130,0.37569528417281617
NP_079426,0.2018089912103631
NP_001258825,0.20480325130615584
NP_001137474,0.21317681343140207
NP_001896,0.33949620189878255
NP_060867,0.23042049292341377
NP_005733,0.40472973615282715
NP_079029,0.33815996712315743
NP_059345,0.22429184357508913
NP_006331,0.23655265039567314
NP_056004,0.26429008551018224
NP_061926,0.3125598090986957
NP_075067,0.21482885369771276
NP_057733,0.22408726795285047
NP_569829,0.311195191234386
NP_569831,0.2478930550896021
NP_569827,0.31182473869855365
NP_057306,0.3074906359130381
NP_004309,0.21464601261361077
NP_060802,0.3366483146468566
NP_009173,0.30534792435199176
NP_000959,0.252447111805151
NP_005531,0.2145421659242619
NP_861447,0.23161825592120283
NP_055211,0.23813304482474265
NP_055684,0.2953314722334451
NP_001127854,0.2953314722334451
NP_001104595,0.2252283394244981
NP_060264,0.22823574759843054
NP_004276,0.24715356671169048
NP_001254490,0.5454439349884362
NP_001254489,0.5530603222452544
NP_000691,0.4337087657864626
NP_065826,0.24898090213864887
NP_002387,0.306744717376631
NP_057227,0.3352824070458179
NP_001184033,0.22065937388958265
NP_001129120,0.24513258683858363
NP_006339,0.2710370887374028
NP_075068,0.26871324556521237
NP_002094,0.2458882329519634
NP_068776,0.24503761475429156
NP_008982,0.3536620965053717
NP_620137,0.3050186410304936
NP_612403,0.2241666543722014
NP_003889,0.2922501060504162
NP_005549,0.3633205299997879
NP_001153682,0.3596123287964001
NP_003696,0.2871460075948977
NP_003642,0.2543775426794377
NP_001138898,0.24878003111942013
NP_056007,0.257605816647614
NP_062543,0.42640695564767334
NP_003698,0.2655847120249006
NP_001035932,0.5668727383486479
NP_077006,0.5678400221462687
NP_284941,0.23536529296352637
NP_001098662,0.5904220490795589
NP_005069,0.5819404158797269
NP_003251,0.33281924219616577
NP_005134,0.21715489699128437
NP_066275,0.22834622815228464
NP_068817,0.2282197612305025
NP_005737,0.4353306526357691
NP_757367,0.24313358970970753
